# DAB/DAB+ Automotive Audio Decoder Test Harness Execution Log
# Input: english_dab_plus.au | Codec: HE-AAC v2 | Sample Rate: 48000 Hz
# Frame	AU_Len	AU_Status	Conceal_Mode	Mute_State	Gain_Q15	Quality	Trigger	Samples
267	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
268	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
269	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
270	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
271	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
272	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
273	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
274	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
275	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
276	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
277	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
278	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
279	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
280	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
281	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
282	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
283	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
284	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
285	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
286	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
287	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
288	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
289	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
290	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
291	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
292	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
293	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
294	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
295	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
296	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
297	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
298	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
299	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
300	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
301	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
302	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
303	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
304	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
305	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
306	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
307	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
308	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
309	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
310	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
311	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
312	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
313	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
314	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
315	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
316	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
317	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
318	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
319	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
320	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
321	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
322	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
323	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
324	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
325	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
326	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
327	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
328	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
329	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
330	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
331	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
332	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
333	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
334	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
335	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
336	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
337	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
338	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
